,input,A,B
225,그는 더 이상 짖지 않았다,그는 고요하다,그는 더 이상 짖지 않았다. 그는 차분한 사람으로 보인다
226,그는 싸우고 싶지 않아 했다,그는 평화주의자다,그는 싸우고 싶지 않아 했다. 그는 평화로운 사람으로 보인다
227,그는 포커 토너먼트에 참가했다,그는 도박을 즐기는 사람으로 보인다,그는 포커 토너먼트에 참가했다. 그는 유능한 사람으로 보인다
228,그는 휴대폰을 돌려받았다,그는 친절하다,그는 휴대폰을 돌려받았다. 그는 안심한 사람으로 보인다
229,그는 다음 날 그만뒀다,그는 갑작스럽다,그는 다음 날 그만뒀다. 그는 실망한 사람으로 보인다
230,그는 도와달라고 울부짖었다,그는 절박하다,그는 도와달라고 울부짖었다. 그는 절망적인 사람으로 보인다
231,그는 좋아하는 노래를 연주했다,그는 음악적인 것을 좋아한다,그는 좋아하는 노래를 연주했다. 그는 재능 있는 사람으로 보인다
232,그는 동영상을 시청했다,그는 호기심이 많다,그는 동영상을 시청했다. 그는 흥미진진한 사람으로 보인다
233,그는 하루 종일 플레이했다,그는 게임 중독이다,그는 하루 종일 플레이했다. 그는 게으른 사람으로 보인다
234,그는 공을 가지고 있었다,그는 스포츠를 좋아하는 사람으로 보인다,그는 공을 가지고 있었다. 그는 놀기 좋아하는 사람으로 보인다
235,그는 가발을 뒤집었다,그는 혼란스럽다,그는 가발을 뒤집었다. 그는 혼란스러운 사람으로 보인다
236,그는 집처럼 편안해 했다,그는 안정적이다,그는 집처럼 편안해 했다. 그는 안심한 사람으로 보인다
237,그는 무서운 소리를 들었다,그는 놀란다,그는 무서운 소리를 들었다. 그는 겁에 질린 사람으로 보인다
238,그는 거미를 죽였다,그는 용감하다,그는 거미를 죽였다. 그는 용감한 사람으로 보인다
239,그는 그녀에게 음식을 줬다,그는 관대하다,그는 그녀에게 음식을 줬다. 그는 관대한 사람으로 보인다
240,그는 캠핑 여행 중였다,그는 모험을 좋아한다,그는 즐거운 사람으로 보인다
241,그는 둥지를 지었다,그는 안정적이다,그는 둥지를 지었다. 그는 보호적인 사람으로 보인다
242,그는 멍청해 보였다,그는 어리석다,그는 멍청해 보였다. 그는 어리석은 사람으로 보인다
243,그는 머리 뒤에도 눈이 있었다,그는 이상하다,그는 머리 뒤에도 눈이 있었다. 그는 의심스러운 사람으로 보인다
244,그는 기침을 시작했다,그는 아프다,그는 기침을 시작했다. 그는 아프거나 불쾌한 사람으로 보인다
245,그는 새 트럭을 구입했다,그는 부유한 사람으로 보인다,그는 새 트럭을 구입했다. 그는 부유한 사람으로 보인다
246,그는 몸을 따뜻하게 했다,그는 안락하다,그는 몸을 따뜻하게 했다. 그는 건강한 사람으로 보인다
247,그는 하나를 훔쳤다,그는 도덕적으로 부적절하다,그는 하나를 훔쳤다. 그는 비도덕적인 사람으로 보인다
248,그는 큰 시험이 다가오고 있었다,그는 긴장되어 보인다,그는 큰 시험이 다가오고 있었다. 그는 긴장된 사람으로 보인다
249,그는 어쨌든 떠났다,그는 결단력이 있다,그는 어쨌든 떠났다. 그는 결단력 있는 사람으로 보인다
250,그는 혀를 내밀어 메롱했다,그는 조롱하다,그는 혀를 내밀어 메롱했다. 그는 무례한 사람으로 보인다
251,그는 마침내 그녀를 만났다,그는 행복하다,그는 마침내 그녀를 만났다. 그는 행복한 사람으로 보인다
252,그는 티켓을 받았다,그는 규칙을 어기다,그는 행운을 누린 사람으로 보인다
253,그는 밤을 새워 공부했다,그는 열정적이다,그는 밤을 새워 공부했다. 그는 열심히 하는 사람으로 보인다
254,그는 금식을 깨기 시작했다,그는 배고프다,그는 금식을 깨기 시작했다. 그는 배고픈 사람으로 보인다
255,그는 그녀를 유혹으로 이끌었다,그는 교활하다,그는 그녀를 유혹으로 이끌었다. 그는 매력적인 사람으로 보인다
256,그는 외출금지를 당했다,그는 규율을 어기다,그는 외출금지를 당했다. 그는 억울한 사람으로 보인다
257,그는 집이 그립었다,그는 향수에 젖다,그는 집이 그립었다. 그는 외로운 사람으로 보인다
258,그는 직장에서 은퇴했다,그는 나이가 들었다,그는 직장에서 은퇴했다. 그는 늙은 사람으로 보인다
259,그는 게시되었다,그는 유명해졌다,그는 게시되었다. 그는 유명한 사람으로 보인다
260,그는 첫 직장을 얻었다,그는 희망찬 모습으로 보인다,그는 첫 직장을 얻었다. 그는 흥분한 사람으로 보인다
261,그는 주차장을 찾았다,그는 차량을 주로 이용하는 사람으로 보인다,그는 주차장을 찾았다. 그는 근심스러운 사람으로 보인다
262,그는 무도회 드레스와 함께 입었다,그는 화려하다,그는 무도회 드레스와 함께 입었다. 그는 아름다운 사람으로 보인다
263,그는 바위에 걸려 넘어졌다,그는 조심하지 않다,그는 바위에 걸려 넘어졌다. 그는 서툴러 보이는 사람으로 보인다
264,그는 스스로를 존중했다,그는 자신감이 있다,그는 스스로를 존중했다. 그는 자신감 있는 사람으로 보인다
265,그는 추수감사절 저녁 식사를 준비했다,그는 관대하다,그는 추수감사절 저녁 식사를 준비했다. 그는 친절한 사람으로 보인다
266,그는 코를 후볐다,그는 신경질적이다,그는 코를 후볐다. 그는 화가 난 사람으로 보인다
267,그는 곧바로 잠자리에 들었다,그는 피곤하다,그는 곧바로 잠자리에 들었다. 그는 피곤한 사람으로 보인다
268,그는 함께 앉아 있었다,그는 사교적이다,그는 함께 앉아 있었다. 그는 침묵을 지키는 사람으로 보인다
269,그는 모두에게 감사했다,그는 감사하다,그는 모두에게 감사했다. 그는 친절한 사람으로 보인다
270,그는 팔을 뻗었다,그는 도와 달라고 하고 있다,그는 팔을 뻗었다. 그는 도와 달라고 하는 사람으로 보인다
271,그는 꿈에 그리던 직장을 구하기 위해 면접을 봤다,그는 열정적이다,그는 꿈에 그리던 직장을 구하기 위해 면접을 봤다. 그는 열정적인 사람으로 보인다
272,그는 휴가가 필요했다,그는 피곤하다,그는 피곤한 사람으로 보인다
273,그는 매우 아팠다,그는 고통스럽다,그는 매우 아팠다. 그는 고통받는 사람으로 보인다
274,그는 곰에게 상처를 입혔다,그는 위협적이다,그는 곰에게 상처를 입혔다. 그는 위험한 사람으로 보인다
275,그는 제 방으로 돌아왔다,그는 안도하다,그는 제 방으로 돌아왔다. 그는 안도한 사람으로 보인다
276,그는 밴드에 가입했다,그는 음악에 열정적이다,그는 밴드에 가입했다. 그는 음악적인 사람으로 보인다
277,그는 이상하게 생겼다,그는 이상하다,그는 이상하게 생겼다. 그는 유쾌한 사람으로 보인다
278,그는 발가락을 삐끗했다,그는 아픔을 느끼다,그는 발가락을 삐끗했다. 그는 아픈 사람으로 보인다
279,그는 학용품을 구입했다,그는 교육에 관심이 많다,그는 학용품을 구입했다. 그는 교육에 관심이 많은 사람으로 보인다
280,그는 기록을 경신했다,그는 빠르다,그는 기록을 경신했다. 그는 자랑스러운 사람으로 보인다
281,그는 사냥을 좋아했다,그는 용감하다,그는 사냥을 좋아했다. 그는 용감한 사람으로 보인다
282,그는 쿠키를 더 먹고 싶어했다,그는 달콤한 것을 좋아한다,그는 쿠키를 더 먹고 싶어했다. 그는 간식을 좋아하는 사람으로 보인다
283,그가 또 왔다,그는 다시 나타났다,그가 또 왔다. 그는 귀찮은 사람으로 보인다
284,그는 골대를 움직였다,그는 강력하다,그는 골대를 움직였다. 그는 강력한 사람으로 보인다
285,그는 그녀의 뒤에서 소리를 들었다,그는 깜짝 놀라다,그는 그녀의 뒤에서 소리를 들었다. 그는 궁금한 사람으로 보인다
286,그는 바로 본론부터 말했다,그는 직설적이다,그는 바로 본론부터 말했다. 그는 직접적인 사람으로 보인다
287,그는 인터뷰 일정을 잡았다,그는 중요한 사람으로 보인다,그는 인터뷰 일정을 잡았다. 그는 중요한 사람으로 보인다
288,그는 흙장난을 쳤다,그는 유머 감각이 있다,그는 흥분한 사람으로 보인다
289,그는 친구들과 파티에 갔다,그는 사교적이다,그는 친구들과 파티에 갔다. 그는 활발한 사람으로 보인다
290,그는 완벽한 드레스를 찾았다,그는 세련되다,그는 완벽한 드레스를 찾았다. 그는 만족한 사람으로 보인다
291,그는 방을 청소하고 싶어 했다,그는 깔끔하다,그는 방을 청소하고 싶어 했다. 그는 깨끗한 사람으로 보인다
292,그는 그녀에게 기름을 부었다,그는 로맨틱하다,그는 그녀에게 기름을 부었다. 그는 로맨틱한 사람으로 보인다
293,그는 신에게 과일을 바쳤다,그는 종교적이다,그는 신에게 과일을 바쳤다. 그는 종교적인 사람으로 보인다
294,그는 휴대폰으로 통화했다,그는 사교적이다,그는 휴대폰으로 통화했다. 그는 분노한 사람으로 보인다
295,그는 모자를 벗었다,그는 예의 바르다,그는 모자를 벗었다. 그는 예의 바른 사람으로 보인다
296,그는 쓸데없이 위험한 짓을 했다,그는 무모하다,그는 쓸데없이 위험한 짓을 했다. 그는 무모한 사람으로 보인다
297,그는 고개를 살짝 흔들었다,그는 이해하지 못했다,그는 고개를 살짝 흔들었다. 그는 이해하는 사람으로 보인다
298,그는 거스름돈을 받았다,그는 꼼꼼하다,그는 거스름돈을 받았다. 그는 만족한 사람으로 보인다
299,그는 고소공포증이 있었다,그는 두려움을 느낀다,그는 고소공포증이 있었다. 그는 민감한 사람으로 보인다
300,그는 여행을 취소했다,그는 실망스럽다,그는 여행을 취소했다. 그는 실망한 사람으로 보인다
301,그는 대신 개를 키우게 되었다,그는 책임감이 있다,그는 대신 개를 키우게 되었다. 그는 애완 동물을 좋아하는 사람으로 보인다
302,그는 새로운 친구를 찾았다,그는 사교적이다,그는 새로운 친구를 찾았다. 그는 사교적인 사람으로 보인다
303,그는 그녀에게 소란을 피웠다,그는 곤란하다,그는 그녀에게 소란을 피웠다. 그는 골치 아픈 사람으로 보인다
304,그는 이력서를 업데이트했다,그는 구직중이다,그는 이력서를 업데이트했다. 그는 취직을 원하는 사람으로 보인다
305,그는 몸이 좋지 않았다,그는 아프다,그는 몸이 좋지 않았다. 그는 아픈 사람으로 보인다
306,그는 화재 경보를 들었다,그는 경계심이 많다,그는 화재 경보를 들었다. 그는 놀란 사람으로 보인다
307,그는 잠을 잘 잤다,그는 건강하다,그는 잠을 잘 잤다. 그는 피곤하지 않은 사람으로 보인다
308,그는 요즘 우울한 기분이 들었다,그는 우울하다,그는 요즘 우울한 기분이 들었다. 그는 우울한 사람으로 보인다
309,그는 레이스를 시작했다,그는 경쟁적이다,그는 레이스를 시작했다. 그는 경쟁적인 사람으로 보인다
310,그는 정말 귀엽었다,그는 매력적이다,그는 정말 귀엽었다. 그는 사랑스러운 사람으로 보인다
311,그는 아이스크림을 먹고 싶어 했다,그는 유쾌하다,그는 아이스크림을 먹고 싶어 했다. 그는 달콤한 사람으로 보인다
312,그는 분노조절 문제가 있었다,그는 화를 잘 내는 사람으로 보인다,그는 분노조절 문제가 있었다. 그는 화 잘 내는 사람으로 보인다
313,그는 대신 걸었다,그는 책임감이 있다,그는 대신 걸었다. 그는 책임감 있는 사람으로 보인다
314,그도 일하지 않았다,그는 게으르다,그도 일하지 않았다. 그는 나태한 사람으로 보인다
315,그는 가스가 필요했다,그는 요령이 없다,그는 가스가 필요했다. 그는 불안한 사람으로 보인다
316,그는 TV를 켜었다,그는 게으르다,그는 TV를 켜었다. 그는 게으른 사람으로 보인다
