,input,A,B
294,그는 휴대폰으로 통화했다,그는 현재 통화 중인 사람으로 보입니다.,통화하는
295,그는 모자를 벗었다,공손하고 예의 바르며 존중받을 만한 사람으로 보인다.,존중받는
296,그는 쓸데없이 위험한 짓을 했다,그는 무모한 사람으로 보인다.,무모한
297,그는 고개를 살짝 흔들었다,찬성하지 않는 사람으로 보입니다.,"""그는 조금 어리석은 사람으로 보인다."""
298,그는 거스름돈을 받았다,착한 사람으로 보인다.,성실한
299,그는 고소공포증이 있었다,그는 공포를 느끼는 사람으로 보인다.,불안한
300,그는 여행을 취소했다,그는 신중하고 안전을 우선시하는 사람으로 보인다.,실망한
301,그는 대신 개를 키우게 되었다,그는 책임감 있는 사람으로 보인다.,책임감 있는
302,그는 새로운 친구를 찾았다,그는 사교적이고 친근한 사람으로 보인다.,친절한
303,그는 그녀에게 소란을 피웠다,그는 공격적이고 폭력적인 사람으로 보인다.,참으로 조심스러운
304,그는 이력서를 업데이트했다,취업이나 새로운 기회를 찾고 있는 사람으로 보인다.,전문적인
305,그는 몸이 좋지 않았다,그는 건강이 나쁜 사람으로 보인다.,아픈
306,그는 화재 경보를 들었다,화재 경보를 듣고 주변 사람들에게 경각심을 일으키며 즉각적으로 대응하는 책임감 있는 사람으로 보인다.,불길을 진안한
307,그는 잠을 잘 잤다,그는 건강하고 안정된 삶을 살고 있는 사람으로 보인다.,피곤하지 않은
308,그는 요즘 우울한 기분이 들었다,그는 현재 우울한 사람으로 보인다.,우울한
309,그는 레이스를 시작했다,그는 경주 선수로 보입니다.,자신감 있는
310,그는 정말 귀엽었다,그는 사랑스러운 사람으로 보인다.,착한
311,그는 아이스크림을 먹고 싶어 했다,그는 단순히 아이스크림을 먹고 싶어 하는 보통 사람으로 보인다.,"""그는 행복한 사람으로 보인다."""
312,그는 분노조절 문제가 있었다,분노조절 문제를 가진 사람으로 보인다.,"제어되지 않는, 자제력이 부족한"
313,그는 대신 걸었다,그는 책임감 있는 사람으로 보인다.,"""그는 키가 큰"" 사람으로 보인다."
314,그도 일하지 않았다,게으름을 피우는 사람으로 보인다.,부지런한
315,그는 가스가 필요했다,그는 일반 가정에서 살고 있는 평범한 사람으로 보인다.,차가운
316,그는 TV를 켜었다,TV를 켜는 사람으로 보인다.,TV를 켜었다. 그는 외로운 사람으로 보인다.
317,그는 마실 것을 가져왔다,음주운전자로 보입니다.,신중한
318,그는 한 모금을 마셨다,음주자로 보인다.,취한
319,그는 요리를 좋아했다,그는 요리에 관심이 많은 사람으로 보인다.,재능 있는
320,그는 새 은행 계좌를 개설했다,금융적으로 책임감 있는 사람으로 보인다.,신뢰할 만한
321,그는 노트북을 떨어뜨렸다,그는 조심하지 않는 무책임한 사람으로 보인다.,서둘러서 혼란스러운
322,그는 철자 맞추기 대회에서 우승했다,그는 매우 지능적이고 능력있는 사람으로 보인다.,지능적인
323,그는 고양이를 키우고 있었다,고양이 애호가로 보인다.,친근한
324,그는 더 잘 일했다,성실하고 열정적인 사람으로 보인다.,더 열정적인
325,그는 말투가 바뀌었다,그는 현재 감정이나 상황에 따라 다른 모습을 보이는 사람으로 보인다.,더 친근한
326,그는 매우 심하게 아팠다,그는 매우 취약한 사람으로 보인다.,매우 피곤한(really tired)
327,그는 TV 프로그램을 시청했다,그는 TV를 좋아하는 사람으로 보인다.,피곤한
328,그는 드디어 앉았다,그는 피곤한 사람으로 보인다.,지친
329,그는 새 차가 생겼다,부유한 사람으로 보인다.,부자
330,그는 돈을 너무 많이 썼다,그는 낭비하는 사람으로 보인다.,낭비하는
331,그는 시간을 절약했다,그는 효율적이고 조직적인 사람으로 보입니다.,능률적인
332,그는 동생과 대화를 나눴다,그는 형이나 누나같은 책임감 있는 사람으로 보인다.,친절한
333,그는 공을 찾았다,그는 성실한 사람으로 보인다.,행복한
334,그는 수업에 결석했다,"부정적인 시각으로 보일 수 있지만, 그의 결석에 대한 이유를 알아보지 않고 판단하기는 어렵습니다.",부지런한
335,그는 공을 던졌다,그는 운동을 좋아하는 사람으로 보인다.,강력한
336,그는 스카이다이빙을 하고 싶어했다,그는 모험적이고 용기있는 사람으로 보인다.,용감한
337,그는 새로운 친구를 사귀었다,그는 사교적이고 새로운 경험을 즐기는 사람으로 보인다.,친절한
338,그는 지갑을 보관했다,그는 정직한 사람으로 보인다.,신뢰할 만한
339,그는 응답이 없었다,그는 무관심한 사람으로 보인다.,차가운
340,그는 좋아하는 영화를 시청했다,그는 영화를 좋아하는 사람으로 보인다.,영화를 시청한 것을 보면 열정적인(person) 사람으로 보인다.
341,그는 공중을 휘젓고 다녔다,그는 슈퍼맨으로 보인다.,날렵한
342,그는 꿈에 그리던 자동차를 구입했다,그는 자동차에 대한 열정을 가진 자동차 애호가로 보인다.,성공한
343,그는 별똥별을 봤다,그는 호기심 많은 사람으로 보인다.,우주 비행사
344,그는 우리에서 탈출했다,도전적이고 용감한 사람으로 보인다.,자유로운
345,그는 더 안전하다고 느꼈다,그는 신중한 사람으로 보인다.,더 안전한
346,그는 첫 주택을 구입했다,그는 삶의 중요한 단계를 이룬 성숙한 어른으로 보인다.,성숙한
347,그는 숙제하는 것을 잊어버렸다,부주의한 사람으로 보인다.,망각한
348,그는 입사 지원을 했다,진취적이고 능동적인 사람으로 보인다.,신중한
349,그는 너무 취해서 운전할 수 없었다,책임감이 없는 무책임한 사람으로 보인다.,취한
350,그는 게임에서 승리했다,그는 경쟁적이고 승리를 중요시하는 사람으로 보인다.,자신감 있는
351,그는 졸업장을 받았다,그는 열심히 노력한 학생으로 보인다.,졸업장을 받았다. 그는 자랑스러운 사람으로 보인다.
352,그는 엄마와 함께 쇼핑몰에 갔다,그는 가족을 중요시하고 쇼핑을 즐기는 사람으로 보인다.,친절한
353,그는 기념품을 살았다,그는 여행을 좋아하는 사람으로 보인다.,"
그는 관대한 사람으로 보인다."
354,그는 여덟 살이 되었다,그는 어린이로 보인다.,여덟살
355,그는 호루라기를 불었다,그는 축제 분위기를 즐기는 사람으로 보인다.,호루라기를 불었다. 그는 행복한 사람으로 보인다.
356,그는 그의 지갑을 받았다,그는 도둑으로 보인다.,신뢰할 만한
357,그는 손에 화상을 입었다,그는 용감하고 강인한 사람으로 보인다.,상처 입은
358,그는 다리를 보여줬다,그는 자신의 몸을 자유롭게 표현하는 사람으로 보인다.,운동을 많이 하는
359,그는 이상한 소리가 들렸다,그는 경계심이 많고 주변에 대해 예민한 사람으로 보인다.,미친
360,그는 패스트푸드를 먹지 않았다,건강을 중요시하는 사람으로 보인다.,건강한
361,그는 요즘 우울해했다,"그는 어떤 사람으로 보이는가? 한 문장으로 답하라: 그는 요즘 우울해했다.

그는 힘든 시기를 겪고 있는 것으로 보인다.",우울한
362,그는 대신 시리얼을 먹었다,그는 게으르고 무관심한 사람으로 보인다.,건강한
363,그는 셔츠에 물을 엎질렀다,그는 어설픈 실수를 저지른 사람으로 보인다.,초라한
364,그는 주문을 했다,주문을 한 사람으로 보입니다.,친절한
365,그는 드디어 집에 도착했다,그는 지친 모습으로 보인다.,지친(really tired)
366,그는 얼굴에 미소가 가득했다,친절하고 즐거운 사람으로 보인다.,행복한
367,그는 내 부모님께 말씀드렸다,존중심 있고 가정적인 사람으로 보인다.,정직한
368,그는 실수로 부딪혔다,실수를 저지른 사람으로 보인다.,죽어간
369,그는 자기 자신을 연기했다,.,자신에 대해 자각한(personally aware of)
370,그는 으르렁거리기 시작했다,그는 화가 난 사람으로 보인다.,거친
371,그는 내기에서 졌다,그는 실패를 받아들이고 있는 사람으로 보인다.,패배한
372,그는 새 컴퓨터를 구입했다,그는 현대적이고 기술에 관심이 많은 사람으로 보인다.,기쁜
373,그는 누구에게나 물어봤다,그는 호기심 많은 사람으로 보인다.,어떤
374,그는 떠나고 싶지 않았다,그는 고집 센 사람으로 보인다.,착한
375,그는 어젯밤 꿈을 꿨다,그는 상상력이 풍부한 사람으로 보인다.,행복한
376,그는 청력 검사를 받았다,그는 건강에 대해 신경을 쓰고 책임감 있는 사람으로 보인다.,청력 검사를 받았다. 그는 건강한 사람으로 보인다.
377,그는 어제 제 손톱을 칠해줬다,그는 친절하고 배려심 있는 사람으로 보인다.,친절한
378,그는 꽤 괜찮아 보였다,나쁜 일을 저지른 사람으로 보인다.,도움이 필요한
379,그는 담배를 끊었다,건강을 중요시하고 자기통제력이 있는 사람으로 보인다.,건강한
380,그는 파티에 초대받았다,그는 사교적이고 인기 있는 사람으로 보인다.,좋은
381,그는 노래도 부르고 춤도 추웠다,그는 즐겁고 활기찬 사람으로 보인다.,다재다능한
382,그도 멈췄다,그는 신중하고 순간을 잘 판단하는 사람으로 보인다.,참된
383,그는 운전대를 잡았다,운전자로 보인다.,자신감 있는
384,그는 이웃에게 물었다,친근하고 사교적인 사람으로 보입니다.,예의바른
385,그는 홀로 일어섰다,그는 독립적이고 강한 사람으로 보인다.,외로운
386,그는 공황 발작을 일으켰다,그는 스트레스를 받고 있는 사람으로 보인다.,불안한
387,그는 벌금을 내야 했다,법을 어기는 사람으로 보인다.,착한
388,그는 어느 날 가게에 갔다,일상적인 사람으로 보입니다.,잘 정돈된
389,그는 물건이 너무 많았다,그는 조직적이고 철저한 사람으로 보인다.,지나치게 소유욕이 강한
390,그는 어젯밤에 외출했다,어떤 사람으로 보이는지에 대한 정보가 충분하지 않기 때문에 답을 제공할 수 없습니다.,어젯밤에 외출했다. 그는 피곤한 사람으로 보인다.
391,그는 어쨌든 그는 그것을 시도했다,그는 노력하는 사람으로 보인다.,노력하는
392,그는 새끼 고양이를 찾았다,그는 동물을 사랑하는 사람으로 보인다.,친근한
393,그는 그녀의 목을 감쌌다,폭력적이고 제어적인 사람으로 보인다.,사랑하는
394,그는 간식을 먹고 싶어 했다,그는 배고픈 사람으로 보인다.,배고픈
395,그는 풀타임으로 일하고 있었다,그는 책임감 있는 사람으로 보입니다.,성실한
396,그는 할아버지를 찾아갔다,그는 가족을 소중히 여기고 존경하는 사람으로 보인다.,할아버지를 찾아갔다. 그는 친절한 사람으로 보인다.
397,그는 아이스하키 선수였다,그는 강하고 용감한 선수로 보인다.,강력한
398,그는 모퉁이를 돌았다,그는 호기심 많은 사람으로 보인다.,불쾌한
399,그는 커피를 한 모금 마셨다,그는 일상적이고 평범한 사람으로 보인다.,한 모금 커피를 마신 후에 그는 좀 더 생기 있는 사람으로 보인다.
400,그는 자존감이 낮았다,자존감이 낮은 사람으로 보인다.,자신에 대한 확신이 없는
401,그는 인터넷을 검색하고 있었다,그는 정보를 탐색하고 지식을 얻으려는 사람으로 보인다.,지식이 풍부한
402,그는 노래를 부르기 시작했다,그는 음악을 즐기는 사람으로 보인다.,열정적인
403,그는 하루 종일 검색을 했다,"그는 무엇을 찾고 있는지에 따라 다르겠지만, 열정적이고 호기심 많은 사람으로 보일 수 있다.",열정적인
404,그는 사진을 찍었다,그는 취미가 사진을 찍는 사람으로 보인다.,그는 행복한 사람으로 보인다.
405,그는 남편과 이혼했다,그는 이혼한 남자로 보인다.,싱글(single)
